sample1	sample2	chr	start	end	different	Nsnp
PH0064-C	PH0167-C	2	106099	862490	1	6316
PH0064-C	PH0167-C	3	70833	1003043	1	7566
PH0064-C	PH0171-C	1	92914	522585	1	3422
PH0064-C	PH0171-C	1	522794	532663	0	217
PH0064-C	PH0171-C	1	532713	575873	1	634
PH0064-C	PH0171-C	2	106099	398801	1	2404
PH0064-C	PH0171-C	2	399497	416343	0	109
PH0064-C	PH0171-C	2	416596	851756	1	3536
PH0064-C	PH0171-C	2	851891	856818	0	75
PH0064-C	PH0171-C	2	856933	862490	1	192
PH0064-C	PH0171-C	3	70833	1003043	1	7566
PH0163-C	PH0167-C	1	92914	575873	0	4273
PH0163-C	PH0167-C	2	106099	862490	0	6316
PH0163-C	PH0167-C	3	70833	1003043	0	7566
PH0163-C	PH0171-C	1	92914	575873	1	4273
PH0163-C	PH0171-C	2	106099	862490	1	6316
PH0163-C	PH0171-C	3	70833	1003043	1	7566
PH0167-C	PH0171-C	1	92914	575873	1	4273
PH0167-C	PH0171-C	2	106099	862490	1	6316
PH0167-C	PH0171-C	3	70833	1003043	1	7566
